Date,INDUS,KABUL,JEHLUM,CHENAB,Year
2023-02-10,18.1,12.1,12.9,10.1,2023
2023-02-11,21.4,11.9,15.7,10.7,2023
2023-02-12,17.9,14.3,15.7,11.2,2023
2023-02-13,16.8,14.2,14.3,9.6,2023
2023-02-14,17.9,13.1,12.2,9.9,2023
2023-02-15,17.6,12.4,11.5,7.6,2023
2023-02-16,17.2,12.3,11.5,8.0,2023
2023-02-17,17.6,12.7,13.6,8.1,2023
2023-02-18,17.9,13.0,11.5,12.1,2023
2023-02-19,17.9,14.3,15.9,11.3,2023
2023-02-20,18.7,14.8,17.4,12.8,2023
2023-02-21,18.7,15.0,19.7,14.1,2023
2023-02-22,18.4,16.7,18.6,9.6,2023
2023-02-23,17.4,13.6,19.9,9.0,2023
2023-02-24,17.6,14.3,18.1,8.5,2023
2023-02-25,17.1,13.8,16.8,7.4,2023
2023-02-26,15.0,15.7,17.9,8.5,2023
2023-02-27,15.0,13.5,17.4,8.8,2023
2023-02-28,14.9,13.3,18.1,9.8,2023
2023-03-01,14.7,11.8,15.0,10.1,2023
2023-03-02,14.3,8.5,16.6,10.6,2023
2023-03-03,14.8,8.7,18.0,8.8,2023
2023-03-04,17.6,8.8,18.7,7.2,2023
2023-03-05,16.8,9.1,20.0,7.9,2023
2023-03-06,21.4,8.1,18.9,8.8,2023
2023-03-07,20.4,7.9,17.6,9.2,2023
